x,y,z,x_sym,y_sym,z_sym
632200,195853,140000,618220,190132,161099
632200,195853,160000,618777,190108,178723
632200,195853,180000,617276,192082,199068
632200,215853,60000,633622,205748,85845
632200,215853,80000,629778,203262,107391
632200,215853,100000,627520,206024,123134
632200,215853,120000,624885,209986,143178
632200,215853,140000,622793,210866,159768
632200,215853,160000,622196,209797,178496
632200,215853,180000,619439,211334,196858
632200,235853,60000,634595,225531,86287
632200,235853,80000,633633,224480,106674
632200,235853,100000,630155,225137,122568
632200,235853,120000,625852,229267,140916
632200,235853,140000,623510,230090,159688
632200,235853,160000,621198,228874,179459
632200,235853,180000,620629,230731,197991
632200,255853,40000,627501,243760,59599
632200,255853,60000,633789,242292,84310
632200,255853,80000,634860,243061,103646
632200,255853,100000,629596,247166,121180
632200,255853,120000,628693,249809,142807
632200,255853,140000,624440,252092,159620
632200,255853,160000,623900,250167,177683
632200,255853,180000,621176,250515,196344
632200,275853,80000,634309,262126,100992
632200,275853,100000,633418,265219,122648
632200,275853,120000,628310,268003,142375
632200,275853,140000,624791,270706,159589
632200,275853,160000,622171,270177,179609
632200,275853,180000,619646,268958,197850
632200,295853,60000,634769,281329,80307
632200,295853,80000,634347,280395,101005
632200,295853,100000,634238,282455,119688
632200,295853,120000,629221,285848,137893
632200,295853,140000,625056,287528,159186
632200,295853,160000,621882,288290,180151
632200,315853,80000,634448,298494,101706
632200,315853,100000,632163,303000,118060
632200,315853,120000,627509,302572,137545
652200,95853,100000,637778,84173,117176
652200,95853,120000,635582,86234,138507
652200,95853,140000,633459,88442,157165
652200,115853,80000,640392,103796,103227
652200,115853,100000,640077,103448,121805
652200,115853,120000,636892,105443,139253
652200,115853,140000,634328,105968,157563
652200,115853,160000,634155,104373,179168
652200,135853,80000,642021,123438,106462
652200,135853,100000,640621,125081,124568
652200,135853,120000,637678,125928,141242
652200,135853,140000,634111,126915,159909
652200,135853,160000,634779,125155,178972
652200,135853,180000,632341,128209,193852
652200,155853,60000,643291,144983,89493
652200,155853,80000,642954,143117,107083
652200,155853,100000,640702,145542,126365
652200,155853,120000,637501,147066,144596
652200,155853,140000,636929,147518,162209
652200,155853,160000,636394,147154,179578
652200,155853,180000,636648,150085,198339
652200,175853,60000,646451,165116,92866
652200,175853,80000,645024,162555,111488
652200,175853,100000,642525,165374,127589
652200,175853,120000,640239,168584,146000
652200,175853,140000,639415,167694,162448
652200,175853,160000,638682,168891,183041
652200,175853,180000,639246,171371,200370
652200,195853,60000,649928,183702,94148
652200,195853,80000,648661,183141,113308
652200,195853,100000,645253,186183,127742
652200,195853,120000,643316,189720,145123
652200,195853,140000,640457,188411,163829
652200,195853,160000,640701,187992,182970
652200,195853,180000,640149,190405,201193
652200,215853,60000,652521,202542,94216
652200,215853,80000,651130,204128,112602
652200,215853,100000,648592,206177,127731
652200,215853,120000,645506,206914,146364
652200,215853,140000,642918,209381,163453
652200,215853,160000,640628,206737,182956
652200,215853,180000,639711,208968,201597
652200,235853,40000,652151,223833,71255
652200,235853,60000,653217,222311,92943
652200,235853,80000,652251,223793,109903
652200,235853,100000,649327,226973,126253
652200,235853,120000,646726,229973,145416
652200,235853,140000,645086,230045,164930
652200,235853,160000,644050,227679,182589
652200,235853,180000,641826,228585,202332
652200,255853,40000,652371,241704,68865
652200,255853,60000,654448,242345,90179
652200,255853,80000,652404,243076,107929
652200,255853,100000,649473,246378,126157
652200,255853,120000,647439,249151,146129
652200,255853,140000,645270,251390,163922
652200,255853,160000,645375,249135,184421
652200,275853,40000,654423,258631,71146
652200,275853,60000,654375,259437,89916
652200,275853,80000,652301,262106,108497
652200,275853,100000,650554,265095,127289
652200,275853,120000,646390,267906,146901
652200,275853,140000,645124,269001,166757
652200,275853,180000,643244,267239,202452
652200,275853,200000,641142,266432,221547
652200,295853,80000,652056,282478,107343
652200,295853,100000,651855,282730,125863
652200,295853,120000,647562,285511,145726
652200,295853,160000,646697,285442,184953
652200,295853,180000,644021,284880,202604
652200,295853,200000,642043,284867,221780
652200,315853,140000,651468,302289,169321
652200,315853,160000,650552,301275,187103
652200,315853,180000,647399,301581,203972
672200,115853,100000,658544,102333,122636
672200,115853,120000,656515,104558,143749
672200,115853,140000,654549,105499,162375
672200,135853,80000,660433,121952,110235
672200,135853,100000,660273,123801,126775
672200,135853,120000,657635,125782,146040
672200,135853,140000,657555,126201,164017
672200,135853,160000,655348,124336,181465
672200,155853,60000,660496,142356,93857
672200,155853,80000,661776,140883,112171
672200,155853,100000,660900,143556,129674
672200,155853,120000,658540,145825,147547
672200,155853,140000,659318,146470,164831
672200,155853,160000,657193,145835,184119
672200,155853,180000,655963,146078,201931
672200,175853,60000,663693,161459,98680
672200,175853,80000,663114,160557,115232
672200,175853,100000,663005,163601,131064
672200,175853,120000,660132,165930,148790
672200,175853,140000,660141,166488,165604
672200,175853,160000,658017,167052,186334
672200,175853,180000,657324,167242,204207
672200,195853,60000,667731,182333,98826
672200,195853,80000,668699,181976,115182
672200,195853,100000,667158,184666,131601
672200,195853,120000,664260,186251,148866
672200,195853,140000,662273,186034,166515
672200,195853,160000,660620,186979,186264
672200,195853,180000,660667,187691,204154
672200,215853,40000,670272,203403,77511
672200,215853,60000,671953,201893,99913
672200,215853,80000,672584,200782,117772
672200,215853,100000,668375,204645,132412
672200,215853,120000,666896,207596,149963
672200,215853,140000,663468,207438,165167
672200,215853,160000,664407,206058,187484
672200,235853,40000,671545,222510,74971
672200,235853,60000,673488,220667,96886
672200,235853,80000,673042,221599,114968
672200,235853,100000,671249,226352,130499
672200,235853,120000,668831,229795,145010
672200,235853,140000,666752,228120,166271
672200,235853,200000,664401,226346,223374
672200,255853,40000,672176,240719,71727
672200,255853,60000,673508,239998,92918
672200,255853,80000,672102,241705,112184
672200,255853,100000,670554,245836,128122
672200,255853,120000,668890,248122,149092
672200,255853,140000,666985,248199,168199
672200,255853,180000,664833,246245,206849
672200,255853,200000,662709,245668,224236
672200,275853,40000,672145,258580,72892
672200,275853,60000,673108,258165,92076
672200,275853,80000,672393,260688,110035
